migration_name,matched_stock_item,score
"FT.Dw 14""x14","DW Collectors Floor Tom 14""x14","0.88"
"FT.Dw 16""x16","DW Collectors Floor Tom 16""x16","0.88"
"BASS DRUM Dw 22""x18","DW Collectors Bass Drum Dw 22""x18","0.90"
"Dw Snare14""","DW Collectors Snare14""","0.90"
"Boom Stsnd CP9700","Boom Stsnd DWCP9700","0.89"
"DW CP9500TB 2-LEG Hi-HAT","DW CP9500TB 2-Leg Hi-Hat Stand","0.90"
"Boom Stsnd dwcp9700","Boom Stsnd DWCP9700","1.00"
"TOM 8""x7""","DW Collectors Rack Tom 8""x7 ""","0.90"
"TOM 10""x7""","DW Collectors Rack Tom 10""x7 ""","0.90"
"F TOM 14""x14""","DW Collectors Floor Tom 14""x14","0.88"
"F TOM 16""x16""","DW Collectors Floor Tom 16""x16","0.88"
"Bess Drum 22""x18""","DW Collectors Bass Drum Dw 22""x18","0.88"
"LP 11-3/4"" CONGA GALAXY GIOVANNI SERIES CONGA # LP806Z-AW + LP COLLAPSIBLE CRADLE WITH LEGS # LP636","LP 11-3/4"" Conga","0.90"
"""LP 12-1/2"""" TUMBADORA GALAXY GIOVANNI SERIES CONGA # LP807Z-AW +"" LP COLLAPSIBLE CRADLE WITH LEGS # LP636","LP 12-1/2"""" Tumbadora","0.90"
"LP 11"" QUINTO GALAXY GIOVANNI SERIES CONGA # LP805Z-AW + LP COLLAPSIBLE CRADLE WITH LEGS # LP 636","LP 11"" Quinto","0.90"
"LP Angled Cajon Model. #55550037106","LP Angled Cajon","0.90"
"LP Bar Chimes LP449C Concerto 25 Bars","LP Bar Chimes LP449C","0.90"
"TOCA TIMBALES SET WITH STAND (FIBERGLASS)","Toca Timbales","0.90"
"TOCA CONGA SET WITH STAND 1 X 11"", 1 X 11""3/4, 1 X 12"" (FIBERGLASS)","Toca Conga 1 X 11""","0.90"
"PEARL TRAP TABLE WITH STAND : PTT1824 (18"" X 24"")","Pearl PTT1824 (18"" X 24"")","0.90"
"QUIKFRAME (115x57x98 cm)","Quikframe (115x57x98 cm)","1.00"
"LP THE-CLAW","LP The-Claw","1.00"
"Gator GTRSTD4 Guitar Case Stand","Gator GTRSTD4","0.90"
"TOURING GUITAR BOAT STAND 6 SPACE","Touring Guitar Boat Stand","0.90"
"FENDER ACOUSTASONIC-AMP SFX ll","Fender Acoustasonic SFX ll","0.90"
"ROLAND JC-120 JAZZ CHORUS 2x12-inch 120-watt Stereo Combo Amp","Roland JC-120","0.90"
"FENDER 65 TWIN REVERB LIMITED EDITION 85W 2x12 Tube Combo Amp","Fender 65 Twin Reverb","0.90"
"VOX AC30C2 30-watt 2x12-inch Tube Combo Amp","VOX AC30C2","0.90"
"FENDER 65 TWIN REVERB 85W 2x12 Tube Combo Amp","Fender 65 Twin Reverb","0.90"
"Marshall JVM210H 100-watt 2-channel Tube Head","Marshall JVM210H","0.90"
"Marshall JCM 2000 TSL 100 Triple Super Lead Röhren Amp 100W","Marshall JCM 2000","0.90"
"Marshall JCM 800 Reissue 2203","Marshall JCM 800","0.90"
"Marshall JVM210H(มาจากลาว)","Marshall JVM210H","1.00"
"Marshall 1960B 4x12","Marshall 1960B","0.90"
"คาบิเน็ต Ampeg Classic Series SVT-810E Bass Enclosure","Ampeg Classic Series SVT-810E Bass Enclosure","0.90"
"FENDER Bassman 810 Neo 500-Watt 8x10"" Bass Cabinet","Fender Bassman 810 Neo","0.90"
"FENDER Bassman 810 Neo 500-Watt 8x10"" Bass Cabinet(มาจากลาว)","Fender Bassman 810 Neo","0.90"
"SWR Sm-900 Bass","SWR SM-900 Bass","1.00"
"Ampeg SVT-CL Bass Head & 810E Cabinet","Ampeg Classic Series SVT-810E Bass Enclosure","0.88"
"Ampeg SVT - 450 CLASSIC","Ampeg SVT-450 CLASSIC","1.00"
"FENDER TB 12000","Fender TB 1200","0.93"
"Super-Sonic","Fender Super-Sonic Head","0.90"
"FENDER RUMBLE Bass man410 + หัวFEDER SUPER BASSMAN","Fender Rumble Bass man410","0.90"
"FENDER RUMBLE BASS 410","Fender Rumble Bass man410","0.88"
"GK GALLIEN 410RBH","Gallien Krueger 410RBH Cabinet","0.88"
"PEAVEY KB5 KEYBOARD AMPLIFIER","Peavey KB5 Keyboard Amplifier","1.00"
"Roland KC500","Roland KC550","0.92"
"Roland KC550","Roland KC550","1.00"
"ROLAND KC 550(มาจากลาว)","Roland KC550","0.92"
"Yamaha Montage M8x 88-key Synthesizer","YAMAHA  Montage M8X 88-key Synthesizer","1.00"
"Yamaha Montage6 Professional Synthesizer/Workstation with 61 Keys","YAMAHA  Montage6 Professional Synthesizer","0.90"
"YAMAHA MOTIF XF7 BLACK MUSIC SYNTHESIZER 76 Note","YAMAHA  Motif XF7","0.90"
"YAMAHA MOTIF XF8 MUSIC PRODUCTION SYNTHESIZER (88 Note)","YAMAHA  Motif XF8","0.90"
"YAMAHA MOTIF XS8 MUSIC SYNTHESIZER 88 Note","YAMAHA Motif XS8","0.90"
"Nord Stage 4 88 Keyboard w/Weighted Keys","Nord Stage 4 88 Keyboard","0.90"
"ROLAND RD2000 DIGITAL STAGE PIANO 88 Key","Roland RD2000","0.90"
"ROLAND RD700(เสีย)","Roland RD700","1.00"
"HAMMOND ORGAN XK-3C KEYBOARD+ST-XLK-3","Hammond XK-3C","0.90"
"HAMMOND (LESLIE) MES-1 MAIN/ECHO SWITCH FOR NEW B-3","Hammond Switch","0.90"
"KORG BX-3 COMBO ORGAN S/N:340782","KORG BX-3","0.90"
"Korg M50 73 Synthesizer Workstation","KORG M50","0.90"
"Korg TR 61Key Synth Music Workstion Triton","KORG M3 61Key Synth","0.88"
"KORG M3 61Key Synth Workstation","KORG M3 61Key Synth","0.90"
"Korg KROME","KORG KROME","1.00"
"Korg Kronos 3 88-Key Music Workstation","KORG KRONOS 3","0.90"
"JCM 2000","Marshall JCM 2000","0.90"
"KORG XVP-10","KORG XVP-10","1.00"
"BOSS FV-500H","Boss FV-500H","1.00"
"BOSS FV-50L","Boss FV-50L","1.00"
"Kong PS-1","KORG PS-1","0.89"
"YAMAHA FC4A (ตัาเก่า #01)","YAMAHA FC4A Pedal","0.90"
"YAMAHA FC4A","YAMAHA FC4A Pedal","0.90"
"T.E.M.AUTO-30","T.F.M Auto-30 (AC 220v to 110v. Auto Transformers 30 A.)","0.92"
"T.E.M.AUTO-10","T.F.M Auto-10 (AC 220v to 110v. Auto Transformers 10 A.)","0.92"
"75 SQM.","Powerlock 75 SQM. Red/Black/Blue/White/Green (Set 5 Cable) 80m.","0.90"
"Cisco Catalyst 1200 24-port GE Full PoE 4x10G SFP+ Switch","Cisco Catalyst 1200 24-port GE Full PoE 4x10G SFP+","0.91"
"ClSCO SG-300-20 20-Port Gigabit Smart Switch","ClSCO SG350-28 28-Port Gigabit Smart Switch","0.91"
"NETGEAR® M4250-9G1F-PoE+ 8x1G PoE+ 110W 1x1G and 1xSFP Managed Switch Network Switch","NETGEAR M4250-26G4F-POE+ 24x1GPoE+300w 2x1G and 4xsep MANAGED SWITCH","0.88"
"อายโบลต์ M10x1.5 01-10511","Steel Eye Blts M10x1.5 01-10511","0.88"
"WLL1T 3/8","Crosby Screw Pin Anchor Shackles,WLL1T 3/8","0.90"
"WLL4-3/4T 3/4","Crosby Screw Pin Anchor Shackles,WLL4-3/4T 3/4","0.90"
"WLL4.7T","Crosby Screw Pin Anchor Shackles,WLL4.7T","0.90"
"WLL3.2T","Crosby Screw Pin Anchor Shackles,WLL3.2T","0.90"
"WLL2T 1/2","Crosby Screw Pin Anchor Shackles,WLL2T 1/2","0.90"
"Grade, 1960 Nmm2 ยาว2 เมตร อัดปลอก+ใส่หัวใจ2 ข้าง","Ungalvanized Steel Wire Rope 6x36 Size 18 mm. IWRC&RHRL12.00 Set Grade, 1960 Nmm2 ยาว2 เมตร อัดปลอก+ใส่หัวใจ2 ข้าง ** รับนำหนัก4ตัน","0.90"
"Black Polyester Round Sling, For Lifting สเปนเซต 2m.","Black Polyester Round Sling, For Lifting 2M.","0.90"
"Round sling, get this. 2.00 push length 6.00 m. 12 M [12 M] circumference","Round sling, get this. 2.00 push length 6.00 m. 12 M [12 M] circumference ( BLACK)","1.00"
"ARES AIR/Red","หมวกนิรภัย AIR-Helmet0748-1 ARES AIR 54-62 cm.-Red","0.90"
"Klark Teknik DN200 Active DI Box","Klark Teknik DN200 Active","0.90"
"AVALON DESIGN / U5","Avalon Design U5","1.00"
"dbx 160S Two channel compressor / limiter","dbx 160S","0.90"
"Soland SDE-330","Roland SDE-330","0.93"
"KLARK TEKNIK DN360 GRAPHIC EQUALISER 2 channel, 30 band, 1/3 octave, 3U","Klark Teknik DN360","0.90"
"Bricasti M7","Bricasti Design M7 REVERB","0.90"
"tc electronic – D-TWO","TC Electronic D-Two","1.00"
"YAMAHA SPX990","Yamaha SPX990","1.00"
"YAMAHA SPX2000","Yamaha SPX2000","1.00"
"TC Electronic 2290","TC Electronic TC 2290","1.00"
"Yamaha REV5 Digital reverberator","Yamaha REV5","0.90"
"BSS DPR-504 Quad Gate","BSS DPR-504","0.90"
"Eventide - Eclipse V4","Eventide Eclipse V4","1.00"
"FATSO EL7x","Empirical Labs Fatso EL7X","0.90"
"Marani MIR480A ครอสโอเวอร์ดิจิตอล","Marani MIR480A","0.90"
"FOCUSRITE SCARLETT 2i2 2nd generation 2-in/2-out USB audio interface","Focusrite Scarlett 2i2 (2nd Gen)","0.90"
"Focusrite Scarlett 18i8 (3rd Gen) USB Audio Interface","Focusrite Scarlett 18i8 (3rd Gen)","0.90"
"SNDWAY SW-525A 30-130dB Digital Sound Level Meter with Large LCD Display Noise Meter","SNDWAY SW-525A 30-130dB Digital Sound Level Meter with Large LCD Display Noise Meter","1.00"
"iSEMcon SC-1 Acoustical Calibrator","iSEMcon SC-1","0.90"
"Isemcom EMX7150","iSEMcon EMX7150","0.93"
"เครื่องวัดเดชิเบล SL-4033SD","Lutron SL-4033SD","0.88"
"MX-2424","TASCAM MX-2424","0.90"
"HD24XR","Alesis HD24XR","0.88"
"Waves intros SoundGrid Extreme Server","Waves intros SoundGrid Extreme Server","1.00"
"รุ่น S/N M-BUMP 30001-30004","M-BUMP","0.90"
"M-BAR 30005-30006","M-BAR","0.90"
"MiMi-Frame 30007-30010","MiMi-Frame","0.90"
"VT4889-AF 30011-30016","VT4889-AF","0.90"
"Z5390 Y Flying frame","Z5390 Y Flying frame","1.00"
"DiGiCo QUANTUM 338 DIGITAL MIXING CONSOLE","DiGiCo QUANTUM 338","0.90"
"Yamaha CS-R5 Rivage PM5 ( ขายออกแล้ว)","Yamaha CS-R5 Rivage PM5","1.00"
"Yamaha DM3-D","Yamaha DM3","0.90"
"YAMAHA DM7Compact","YAMAHA DM7 Compact","0.94"
"Yamaha MG16","Yamaha MG16","1.00"
"ALLEN & HEATH GX4816 48x16 XLR In/Out Stage Box","Allen&Heath GX4816","0.90"
"Allen&Heath ZED12fX","Allen&Heath ZED-12FX","0.95"
"Soundcraft Spirit M12 Mixer","Soundcraft Spirit M12","0.90"
"MIDAS venice32","Midas Venice 320","0.88"
"MACKIE ProFX16v3 (#01)","Mackie ProFX16v3","1.00"
"SOUNDCRAFT SERIES FIVE 52CH. RAFT MIXING CONSOLE 48.MONO.4 STEREO","Soundcraft Series Five","0.90"
"SOUNDCRAFT SPIRIT MONITOR 2 40CH.","Soundcraft Spirit Monitor 2","0.90"
"CONSOLE POWER SUPPLY CPS 2000 SOUNDCRAFT SERIES FIVE","Soundcraft CPS 2000","0.90"
"Soundcraft Delete SR","Soundcraft Delta SR","0.90"
"ATI 8MX2 8-Channel Mic Preamp / Summing Mixer","ATi 8Mx2 Mic Preamp","0.90"
"Soundcraft SM12","Soundcraft SM12","1.00"
"PASSIVE SPLITTER 64CH","Passive Splitter 64CH","1.00"
"This card offers users 4 stereo AES output channels for the DiGiCo SD-Rack, Sd-MiNi Rack, SD-Nano Rack and 4REA4.","Digico SD-Rack","0.90"
"DMI-DANTE 64@96","DiGiCo DMI-DANTE 64@96","0.90"
"Yamaha Rio-D","YAMAHA Rio D2","0.92"
"Yamaha Rio-D2. (สหไทย) Yamaha ส่งให้26/03/69","YAMAHA Rio D2","0.90"
"Yamaha Rio 3224 D3","Yamaha Rio 3224 D3","1.00"
"YAMAHA DSP-RX //E","Yamaha DSP - RX //E","1.00"
"RY16-DA","Yamaha RY16-DA","0.90"
"RY16-ML-SILK","Yamaha RY16-ML-SILK","0.90"
"HY144-D-SRC","Yamaha HY144-D-SRC","0.90"
"HY256-TL","Yamaha HY256-TL","0.90"
"MY8-AE96S","Yamaha MY8-AE96S","0.90"
"Waves WSG-PY64","Yamaha Waves WSG-PY64","0.90"
"Dell 24"" จอมอนิเตอร์ DELL P2424HT (IPS 60Hz Touch-Screen USB-C)","Dell 24"" Display Monitor DELL P2424HT (IPS 60Hz Touch-Screen USB-C)","0.88"
"Crown I-Tech 12000HD Two-channel, 4500W @ 4Ω Power Amplifier","Crown I-Tech 12000HD","0.90"
"L-Acoustics LA8 4-Channel 1800 Watt Audio Amplifier","L-Acoustics LA8","0.90"
